img_file,predicted_class,probabilities
b48aacf6-0b89-4558-8aad-b713fe7f065e.png,sharp,"[0.010379231534898281, 0.9896208047866821]"
58936a2e-735e-4c91-920d-458417f37005.png,blurred,"[0.9999465942382812, 5.341420182958245e-05]"
33e01fdd-933a-46c3-8d03-91b3fb2124cb.png,sharp,"[0.009955632500350475, 0.990044355392456]"
ff43f7ec-2b64-49c4-8061-87c509825167.png,sharp,"[3.611388456192799e-05, 0.9999638795852661]"
1bdf3141-ebd4-427c-88ea-8de7c9b683b3.png,sharp,"[0.4211060702800751, 0.5788939595222473]"
a92d90db-bc68-4d0c-aeb2-ec67f47863cf.png,sharp,"[0.2818739414215088, 0.7181259989738464]"
2fcd8c2e-00d0-4a7b-b74a-c706be214d37.png,sharp,"[0.007722274865955114, 0.9922777414321899]"
adf38349-9a77-4fcc-86d9-911219995fee.png,blurred,"[0.6583503484725952, 0.3416496217250824]"
0b7e706b-932f-4c06-8980-5f60bfbbe9ac.png,sharp,"[0.14494940638542175, 0.8550505638122559]"
84eed767-a048-4c15-a127-3c0453fde5b6.png,blurred,"[0.9997839331626892, 0.00021602827473543584]"
480323c4-4041-43bc-801b-0bcb17880f26.png,sharp,"[0.0046105519868433475, 0.995389461517334]"
0496216c-b878-4b2e-9b60-16c55067fca0.png,blurred,"[0.8084414005279541, 0.1915586143732071]"
40d7d774-91e4-404d-a428-e7cd4167b025.png,sharp,"[0.30035197734832764, 0.6996479630470276]"
c2d4df77-42f6-4aa5-914c-11d122f22a4c.png,blurred,"[0.9484454393386841, 0.05155453458428383]"
420d5d80-7975-4787-9b24-007e884d40da.png,sharp,"[0.0037574463058263063, 0.9962425231933594]"
7b38bb63-276a-432f-8ed4-39261c30b42f.png,blurred,"[0.9657809138298035, 0.034219034016132355]"
157c35e1-a69a-4786-a5a2-74368d275006.png,blurred,"[0.7636373043060303, 0.23636271059513092]"
5f1a08f8-4da8-4dbc-9626-2086b7e6d584.png,sharp,"[0.0005616473499685526, 0.9994383454322815]"
0abf49a3-14f7-4bd5-afae-10e471bfae05.png,sharp,"[0.01062840223312378, 0.989371657371521]"
d6aa5bf1-374a-488b-8607-5972a15891da.png,blurred,"[0.8668437004089355, 0.13315629959106445]"
c4ad5261-4c91-4baf-bebf-38f2b8f490a4.png,blurred,"[0.9929876923561096, 0.007012269459664822]"
0a600a3b-85f0-444f-8452-d2c7dffee2db.png,blurred,"[0.7993788123130798, 0.20062117278575897]"
58866848-4bab-49b8-9cbc-74c5ec7d09ef.png,sharp,"[0.0007008176180534065, 0.999299168586731]"
52a3bfda-8358-436d-86b7-66f9d326b09b.png,blurred,"[0.8193873167037964, 0.180612713098526]"
708fe6b6-9996-4216-bf6a-3d1507eb9c4c.png,blurred,"[0.5577435493469238, 0.4422564208507538]"
8220acef-f357-4903-83eb-1f546a980f11.png,sharp,"[0.1395072340965271, 0.8604927062988281]"
6089fe6e-3c3c-421b-9859-04997440d388.png,sharp,"[0.03367944434285164, 0.9663206338882446]"
a71bf5e9-b60c-4ae3-b50e-945751a0aebf.png,sharp,"[0.048464369028806686, 0.9515356421470642]"
f2eb6116-5905-4814-a597-0bd2acaf9e33.png,blurred,"[0.9980119466781616, 0.001988011412322521]"
73f4ced0-7385-4dd0-a820-60421660feb4.png,sharp,"[0.28167638182640076, 0.7183236479759216]"
0b745b46-2b02-445b-850f-18ba6043f48c.png,sharp,"[0.13210316002368927, 0.8678967952728271]"
7fabdb36-7140-4cc2-9835-eba23f32e3ff.png,sharp,"[7.315821858355775e-05, 0.9999268054962158]"
898dd0b2-9e52-411e-9661-13abd54aa942.png,sharp,"[0.0010297263506799936, 0.9989702701568604]"
3fc939e9-2784-4894-b18f-7f4f0a710fa4.png,blurred,"[0.9919742941856384, 0.00802571326494217]"
25562016-8158-47ff-a2dc-cfa38d52e18f.png,sharp,"[0.001044167554937303, 0.9989558458328247]"
b63cc2cf-02dc-4d16-be57-8fc5efa6d42f.png,sharp,"[0.30032220482826233, 0.6996778249740601]"
2b2dba62-8049-47d4-9e6f-27f1d567b79d.png,sharp,"[0.012490705586969852, 0.9875093102455139]"
ad99b6c3-2a24-4740-a82f-202212647a01.png,blurred,"[0.970198392868042, 0.029801642522215843]"
11eafc04-df46-45bd-ba61-6f9d90e20d04.png,blurred,"[0.6877797842025757, 0.3122202157974243]"
dae48ea9-e120-46c6-8569-bb0d6e9cc804.png,sharp,"[0.0014033567858859897, 0.9985966086387634]"
5e89cce0-3a27-40be-a23f-88c0c6dfa6c0.png,blurred,"[0.9977185726165771, 0.002281419700011611]"
700413fe-985e-41f9-a3e4-82b80f07aade.png,blurred,"[0.9887151122093201, 0.011284871958196163]"
60d9b12b-28ba-4057-92a3-4f313ae729a8.png,blurred,"[0.9968950748443604, 0.003104963107034564]"
179800a9-47e0-4975-ae02-6d8147e563c0.png,sharp,"[0.00023414965835399926, 0.9997658133506775]"
884aede0-ba3e-4070-ac2f-4028bc1e898d.png,sharp,"[0.3773239552974701, 0.6226760149002075]"
d263673d-39e1-40a1-a2d0-1457c5386da0.png,sharp,"[0.014551352709531784, 0.9854486584663391]"
7e1311b2-5ba4-48a2-b8f3-9f8dc48c152b.png,blurred,"[0.9905422329902649, 0.009457715786993504]"
7cda2318-1308-42e6-80dc-3d37f5dd6ed7.png,sharp,"[0.02512540854513645, 0.9748746156692505]"
35173311-2d46-44ac-8e41-a5c176a478c3.png,blurred,"[0.8785585761070251, 0.12144143134355545]"
fed477b2-255b-4051-9e18-6339125f4d9d.png,blurred,"[0.774480402469635, 0.2255195677280426]"
80d830f5-5ca4-4fa4-98d8-e4445fa8b4e8.png,sharp,"[9.689367288956419e-05, 0.9999030828475952]"
6b25eb19-4af2-4de3-8518-d39f1cd8d39c.png,blurred,"[0.9847843647003174, 0.015215568244457245]"
03c99dfa-e897-4cb9-96ed-8fd2cadd54a7.png,sharp,"[0.47599539160728455, 0.5240046381950378]"
06a90416-125a-4e55-8726-2e59d3fb44c2.png,sharp,"[0.24216614663600922, 0.7578338384628296]"
280bed59-824a-434a-b6d5-5578f00cd25f.png,blurred,"[0.7324807643890381, 0.2675192058086395]"
ef53bef4-df4a-4b92-baae-abe4c392b78f.png,blurred,"[0.8389033079147339, 0.16109666228294373]"
b4f23565-55e4-4a9c-8aa4-22fd7c8796e1.png,blurred,"[0.998753547668457, 0.0012464141473174095]"
0a44b1c7-c8e9-4fdf-8559-177e51b7d9da.png,sharp,"[0.028583182021975517, 0.9714168310165405]"
7975afa2-5188-41de-bf03-56a406d2dd12.png,sharp,"[0.17170210182666779, 0.8282978534698486]"
ab3a730e-b1f8-4f95-92bd-b8f9e84cea25.png,sharp,"[0.02586316503584385, 0.9741368293762207]"
d9ea7096-7cfa-4d1e-8efa-cd84f1cd7a41.png,sharp,"[0.12238454073667526, 0.8776153922080994]"
26fe7c4b-af36-472c-88f6-e5196dedb69c.png,blurred,"[0.8846485018730164, 0.11535144597291946]"
dac97af9-1593-475f-ae52-492fd4357299.png,sharp,"[0.03414296358823776, 0.9658569693565369]"
a0601de9-0745-4b42-8846-95135f2cd094.png,sharp,"[0.05153988301753998, 0.9484601020812988]"
17c3bed6-14b6-44aa-a06c-0c42511224d9.png,sharp,"[0.03220362961292267, 0.9677963256835938]"
b5522ad0-141c-4020-a65d-35bddf90a556.png,sharp,"[0.030355820432305336, 0.9696441888809204]"
65c3a5e4-43de-4b47-bc85-bd7f466173cb.png,sharp,"[0.04506383463740349, 0.954936146736145]"
a2ed37fe-2234-477f-8d12-4cda006e5f89.png,blurred,"[0.5640659332275391, 0.43593406677246094]"
29d163a2-83f0-45b5-b9d5-c3f74c570b1f.png,blurred,"[0.9947299957275391, 0.005269933026283979]"
b293e8d4-1ffc-4782-b915-9c3eca8154df.png,sharp,"[0.0011246656067669392, 0.9988753199577332]"
f9b1f165-bec1-4812-a120-5d6eb9b16be5.png,sharp,"[0.014457497745752335, 0.9855425357818604]"
09a996c6-070e-4524-8bc2-0c5f7c05c839.png,sharp,"[0.4799356758594513, 0.5200642943382263]"
070ea11e-1795-467b-aedc-d66e067b4831.png,blurred,"[0.9245781898498535, 0.07542181760072708]"
addd8305-a475-4cdf-8f41-f5d33fbbe9be.png,sharp,"[0.040290091186761856, 0.959709882736206]"
8f09ec2d-f219-42c2-a2ba-d28bc0cc7707.png,blurred,"[0.957696795463562, 0.04230325669050217]"
1a1bef34-3447-4f2a-8556-5bd4fe3a698e.png,sharp,"[0.042012110352516174, 0.9579879641532898]"
ab93c60e-74c5-45cd-bc87-0bb538de97c8.png,sharp,"[0.01144420076161623, 0.9885558485984802]"
98782bf5-12a5-417b-828a-bb191fb31120.png,blurred,"[0.6565811634063721, 0.3434189260005951]"
6fb26186-d284-4f9f-8b62-5546ea8c3483.png,sharp,"[0.0011665028287097812, 0.9988334774971008]"
1bfbcc24-d7f2-420a-b3d4-0b8e11874b2b.png,sharp,"[0.00033129414077848196, 0.9996687173843384]"
778cf946-c787-414c-aa96-076402f9d17d.png,sharp,"[0.006804287899285555, 0.993195652961731]"
97f63b40-dd91-4ab3-b120-1f49edf6ffde.png,sharp,"[0.31708499789237976, 0.6829150319099426]"
94e5986d-ff7d-4d36-aa09-e10eb924cf77.png,sharp,"[0.4773281514644623, 0.5226718187332153]"
f3235d27-2a3a-49c4-bfc7-4dafbccd3846.png,sharp,"[0.018467916175723076, 0.981532096862793]"
6ec7ebc3-27f5-42c3-adcd-ac256ff9741e.png,sharp,"[0.102510005235672, 0.8974899649620056]"
1303b9c7-8bba-4efd-831c-09580c2ab1bf.png,sharp,"[0.026688365265727043, 0.9733116626739502]"
4e5efc41-50fd-432e-8fe4-30420981c7f2.png,blurred,"[0.7930027842521667, 0.20699717104434967]"
8689c80a-a6c4-49a6-aa2e-bb8197b20bb9.png,sharp,"[0.40085700154304504, 0.5991430282592773]"
e4b1a81a-0d5f-4cc3-8e31-e3146b01a13f.png,blurred,"[0.9730316400527954, 0.026968378573656082]"
6edb0283-9f29-4c2f-b04b-24a462e1dfff.png,sharp,"[0.002969987690448761, 0.9970300197601318]"
243acb37-4440-45fb-b731-c9c9447cc086.png,blurred,"[0.8838618993759155, 0.11613813042640686]"
8f49e412-d1b6-4c30-9eb5-94e4b829125d.png,sharp,"[0.17277891933918, 0.827221155166626]"
b520b87f-163d-42f4-b0b7-7475973e6cc6.png,sharp,"[0.022696733474731445, 0.9773032069206238]"
7466f868-ae46-4104-bdaa-45f5f5c9769d.png,blurred,"[0.9617990255355835, 0.03820100799202919]"
e250ead4-8628-4718-8bd2-9f9c6c3e317d.png,blurred,"[0.6743577122688293, 0.32564231753349304]"
1ccc16c5-5086-454f-aa83-c7f72443edc9.png,blurred,"[0.8028797507286072, 0.1971202939748764]"
0bc22358-523f-4304-912e-37fd3c402c03.png,sharp,"[4.14987989643123e-05, 0.9999585151672363]"
397c624a-d9d5-4c8f-a9f7-f9f771589ed6.png,sharp,"[0.38309383392333984, 0.6169062256813049]"
4a33f399-968a-4c95-92fc-259d6cddc087.png,blurred,"[0.8828628659248352, 0.117137111723423]"
cf35fd33-fbe1-4d17-b86f-77ce171c56ac.png,sharp,"[0.06509122997522354, 0.9349087476730347]"
4396b67f-1f38-47b9-bd51-e7b478b57ce7.png,blurred,"[0.7889361381530762, 0.21106386184692383]"
2fda4995-a786-40ba-b0a8-b71ef26ae262.png,sharp,"[0.0005790244904346764, 0.9994210004806519]"
f34f3ed4-49ed-4e63-8468-a99ca0ef47a2.png,blurred,"[0.8342539072036743, 0.16574616730213165]"
0c3ea157-ad73-4b8a-9d65-2ef882366983.png,sharp,"[0.4322489798069, 0.5677509903907776]"
a2a8be00-4e7b-4eac-bdae-2187ed080545.png,blurred,"[0.9382295608520508, 0.06177050247788429]"
b1af8851-7518-4eae-b816-5018b958eed0.png,sharp,"[0.007104022428393364, 0.9928960204124451]"
db9f603e-9f7e-47d1-8487-d3f107efdfea.png,blurred,"[0.8659156560897827, 0.13408435881137848]"
77273c5c-3fd8-44d8-afc1-06a3b70b9000.png,sharp,"[0.0007014597649686038, 0.9992985725402832]"
a0526b12-9bf1-4e26-a4aa-ec0e23ff6d13.png,blurred,"[0.823743999004364, 0.176256000995636]"
c1937c78-69ba-4942-baef-618ea00bca39.png,sharp,"[0.03840092197060585, 0.9615991115570068]"
fad638fa-b298-4fcc-b206-d249e6a29d69.png,sharp,"[0.4232913553714752, 0.5767086744308472]"
d2e2dce4-7aad-44ce-8012-6ff0153ced01.png,sharp,"[0.03577270731329918, 0.9642273187637329]"
af4985db-b37f-4679-ba86-53929851b478.png,sharp,"[0.27456361055374146, 0.7254363298416138]"
91f43e02-6990-4891-8660-911f13a0a3ad.png,blurred,"[0.9995089769363403, 0.0004910777788609266]"
5b2b7ca8-f3d9-46f3-80e9-0f53abfcf46f.png,blurred,"[0.9231240153312683, 0.0768759623169899]"
89f7e190-ce5f-4fd9-84c9-2692f40d6cf9.png,sharp,"[0.09662558883428574, 0.9033743739128113]"
988e6964-e52d-4f6b-981c-7e3bc16c9240.png,sharp,"[0.16178704798221588, 0.8382129669189453]"
ed6d9a0d-817e-4f7e-802e-3508af9ac899.png,sharp,"[0.17844708263874054, 0.8215528726577759]"
7ff2ec05-7ed1-4a14-9d2c-8947c8f7fe3c.png,sharp,"[0.014384668320417404, 0.9856153726577759]"
c39088c5-da0b-4024-b4f1-eb68546ea7e5.png,sharp,"[0.08735643327236176, 0.912643551826477]"
6bb8e498-dc5b-43e0-bd38-da61fe4ae2f9.png,sharp,"[0.4606935977935791, 0.5393064022064209]"
d6377f26-2099-402e-b031-20a6a14a4c3a.png,sharp,"[0.02560391090810299, 0.9743960499763489]"
93a6baac-4986-4d6b-b4bd-b9206bfe07ba.png,blurred,"[0.997918426990509, 0.002081552753224969]"
b9988084-0858-4993-a8c3-7b19d52f183a.png,sharp,"[0.0009344581048935652, 0.9990655779838562]"
a3bcf97d-1500-4afc-8994-40d2f9a86f85.png,sharp,"[0.0002598532591946423, 0.9997401833534241]"
5a408a37-fee2-48f6-a8af-d3d0932c6a8b.png,blurred,"[0.9368723630905151, 0.06312767416238785]"
e9cfa7a0-f6f5-4da2-a855-9838def727f7.png,sharp,"[0.010791477747261524, 0.9892085194587708]"
3be45ce2-8b52-402e-b016-7912af27bbdf.png,blurred,"[0.5735328793525696, 0.42646709084510803]"
eac33936-9b25-4657-8c01-a624a6e3b564.png,sharp,"[4.2730356653919443e-05, 0.9999573230743408]"
1841c9b7-8916-41f2-b0db-0bbc9cc2298b.png,blurred,"[0.9998472929000854, 0.00015273412282112986]"
d5f2d718-a2ef-4c14-8ed7-eaf42df06532.png,blurred,"[0.9998743534088135, 0.0001256317482329905]"
eb90f7e7-ba3e-40c9-b0a7-2d404340634c.png,blurred,"[0.6859102845191956, 0.31408968567848206]"
1d807b3b-b32c-4673-bb13-0334491c0f93.png,sharp,"[0.05437123402953148, 0.9456287026405334]"
4a90014e-1f28-4424-86b5-102ca18b94c4.png,sharp,"[0.011647934094071388, 0.9883521199226379]"
78c4dcbf-2a1d-4ff1-9c4e-93f104565731.png,sharp,"[0.06795737147331238, 0.9320425987243652]"
5f3d92a1-789c-4ef1-8ca0-da485c0d32a1.png,blurred,"[0.9980133771896362, 0.001986587420105934]"
158c8760-d8d4-402c-a716-4a1b00b89e4f.png,blurred,"[0.9582297801971436, 0.041770193725824356]"
d92e536b-1e1d-4e0b-af85-1ab6a9d8326a.png,blurred,"[0.9222949147224426, 0.07770510762929916]"
11a46b36-ab2d-4fb6-8d67-224d4480c963.png,sharp,"[0.49914461374282837, 0.5008554458618164]"
4169e29c-bdd8-483d-9f41-b326efa61595.png,sharp,"[0.17917500436306, 0.8208249807357788]"
1e1422d3-fdc2-4fdc-85ff-e48776e111dd.png,sharp,"[0.0013427326921373606, 0.9986572265625]"
22a5fa65-2f87-4403-a531-c18ffe1f1936.png,sharp,"[8.307646203320473e-05, 0.9999169111251831]"
b720bb56-73b3-49b3-ba27-08ad7b57cc49.png,sharp,"[0.00013146581477485597, 0.9998685121536255]"
f5d71db7-fb72-4a0b-8ad9-137d1d7201a0.png,sharp,"[0.0029083762783557177, 0.9970916509628296]"
e22b7959-76a2-45e8-9220-cac1e6f28c46.png,blurred,"[0.8096527457237244, 0.1903473138809204]"
259a5087-0334-4e0c-bbb2-42583d8314bd.png,sharp,"[0.001976528437808156, 0.998023509979248]"
c98a5a9b-ea68-43a7-aded-ef75e0dc486b.png,sharp,"[0.038180604577064514, 0.9618194103240967]"
f8a0ab4e-89c8-43ec-abfe-6809e22533c9.png,sharp,"[0.016203001141548157, 0.983797013759613]"
55276537-6bbb-4bbd-857f-9a80d32ffb36.png,sharp,"[0.12762458622455597, 0.8723753690719604]"
80b98508-981c-41c9-8903-ab1db934f68e.png,blurred,"[0.9706061482429504, 0.02939382568001747]"
00f3e1ad-1ba7-4d26-b36d-90093428429e.png,blurred,"[0.9136988520622253, 0.08630114793777466]"
94a06996-fa2e-4670-8714-44d72561287b.png,blurred,"[0.9100344181060791, 0.0899655669927597]"
9dcca12d-a5e1-4fc4-a62d-35e65813dd03.png,blurred,"[0.5388709306716919, 0.4611290991306305]"
477be76e-cfa9-4c4f-9d90-3d78e811e9e2.png,blurred,"[0.9143022298812866, 0.08569774031639099]"
152c97e7-268d-47b9-b615-6cce48fbc23f.png,blurred,"[0.6767739653587341, 0.32322603464126587]"
796cc679-f7f8-445c-9a99-fc4a0a4a774b.png,sharp,"[0.000968854408711195, 0.9990311861038208]"
570afe61-a04b-4114-a33f-befa520b5192.png,sharp,"[0.0007674547377973795, 0.9992325305938721]"
0123d8d4-4150-4d81-926a-a413281213a3.png,sharp,"[0.2275501787662506, 0.772449791431427]"
c622194c-5435-46d4-b4bc-0b3d2e2889be.png,sharp,"[0.20335786044597626, 0.7966421246528625]"
a9cbd4a4-9aa8-4a4a-b292-f4d771b274cb.png,sharp,"[0.03531122952699661, 0.9646887183189392]"
ffd8297b-6ba0-41b7-847c-f046627c2cd2.png,sharp,"[0.20906515419483185, 0.7909348011016846]"
f5471a26-f494-4a1a-9177-f199fcdbeb1d.png,sharp,"[0.0006324551068246365, 0.9993675351142883]"
f85fc590-71a7-4b27-91b0-4ed3cd6ca5e7.png,sharp,"[0.007480868138372898, 0.9925191402435303]"
fcd1132d-2f9f-46c3-9b4c-3fe044e03aed.png,blurred,"[0.99928879737854, 0.0007111483137123287]"
7993a0ee-e3cb-452e-b13b-fc8914513ead.png,blurred,"[0.5227996110916138, 0.4772004187107086]"
96b2a9b2-6340-4735-95a7-2b86d120863e.png,blurred,"[0.999695897102356, 0.00030414812499657273]"
e2d8a013-66aa-42ec-b698-be8d19c4b391.png,sharp,"[0.4056958854198456, 0.5943041443824768]"
590368d1-4615-4b72-b5fd-c62beb393602.png,blurred,"[0.9972438812255859, 0.002756170928478241]"
0e4d6e2e-9cd5-4295-8f4c-86db954dafd4.png,blurred,"[0.7379290461540222, 0.2620709538459778]"
2fbf0610-074d-4504-9ea5-2d136d5b38f4.png,sharp,"[0.32558679580688477, 0.6744132041931152]"
10b3ff56-2032-4a7e-a5ba-ef553c49da87.png,blurred,"[0.5526543259620667, 0.44734567403793335]"
95648d01-2dd3-436d-97de-51b173b66acb.png,sharp,"[0.004843173082917929, 0.9951568245887756]"
264cdf39-4cd8-4a47-953d-c9d3633ab0c0.png,blurred,"[0.5329856872558594, 0.4670143723487854]"
122d0478-578a-4637-90bd-40dcea3ad965.png,sharp,"[0.3854210674762726, 0.6145789623260498]"
1970b007-2ff7-48ff-b9f0-024df3bb0c6c.png,blurred,"[0.9953970313072205, 0.0046029360964894295]"
165cda5b-4c16-4096-8cab-e9e8be466b5d.png,sharp,"[0.3124515116214752, 0.6875485777854919]"
8874d1b4-8a2c-4aa8-bc7b-d0be0062c4d8.png,blurred,"[0.9766346216201782, 0.02336530201137066]"
852282fe-d307-4a82-ba91-00666f212ec8.png,sharp,"[0.018209926784038544, 0.9817901253700256]"
a0a0d5b4-9521-479e-a684-62534d8d1e86.png,sharp,"[0.00024254900927189738, 0.9997574687004089]"
8a2f3dfc-4a58-474a-83f6-5387c5bb18d7.png,sharp,"[0.02292349748313427, 0.9770764708518982]"
be9f1c3f-7bd7-43d5-b916-cf5fe523c8d6.png,blurred,"[0.9705809354782104, 0.02941901795566082]"
fa185b49-2a0d-42d2-ac93-e873b3fa7ead.png,sharp,"[0.2729005813598633, 0.7270994186401367]"
86efa819-2417-4345-b91d-c20a66f83103.png,sharp,"[0.0004168384475633502, 0.9995831847190857]"
453c4482-4ea3-4ac6-b50c-918c2a004a39.png,sharp,"[0.008359666913747787, 0.9916403293609619]"
3822cf32-881e-4fa1-b71e-aa3bd1a101e3.png,sharp,"[9.236809273716062e-05, 0.9999076128005981]"
00d79339-b8c6-4c38-bf58-ce0b2b258f2e.png,sharp,"[0.0004267828771844506, 0.9995731711387634]"
e8fa499c-61b3-44c0-878b-f410aecaca9a.png,sharp,"[0.00244944728910923, 0.9975505471229553]"
164e065d-b48a-4d28-aa55-1e04dbf89861.png,blurred,"[0.9080217480659485, 0.09197822213172913]"
dc6a2baf-f1d4-4f58-b70f-97a089646253.png,blurred,"[0.941466748714447, 0.05853325501084328]"
89d7f2d6-0f16-4e7e-bf6e-6d0b4d502bda.png,sharp,"[0.004689459223300219, 0.9953106045722961]"
073943f7-409f-4452-8fdd-783d834b610a.png,sharp,"[0.2573288381099701, 0.7426711320877075]"
2f1fff96-0322-4a26-86af-9c006918eaea.png,blurred,"[0.6308416724205017, 0.3691583573818207]"
655fac70-07d4-4a54-9038-1833054987b8.png,sharp,"[0.08068805187940598, 0.9193118810653687]"
86382b17-a726-4a48-96dd-84a8d5e0f193.png,blurred,"[0.6692480444908142, 0.3307519555091858]"
f7cf6be5-cb5e-4b7b-9724-288cf472e57c.png,sharp,"[0.031337201595306396, 0.9686627984046936]"
6b3ac344-1490-4c02-a184-c8b208c4164d.png,blurred,"[0.6380288004875183, 0.3619711995124817]"
a421ce35-47d8-4800-a395-a4580f7fbe7c.png,sharp,"[0.05692269653081894, 0.9430772662162781]"
ec4587d5-3329-470d-9a49-64fb99bbae9f.png,blurred,"[0.9146623611450195, 0.08533766120672226]"
1a1e6213-d1be-4102-af11-f57732a4f5f5.png,sharp,"[0.28871262073516846, 0.7112874388694763]"
1c8277f2-5f2c-4227-a7eb-8afd62dc4aec.png,sharp,"[0.03844815120100975, 0.9615518450737]"
dc1ffca8-019f-4c57-b950-eb605cbe0832.png,blurred,"[0.9902330636978149, 0.009766909293830395]"
84d00766-c70a-4789-bf77-a45080660e2b.png,sharp,"[0.0003368623729329556, 0.9996631145477295]"
0e543cba-bf4c-4475-972e-0103bda76ec5.png,blurred,"[0.995206892490387, 0.004793080966919661]"
c786ada3-74f0-4dce-a367-99b36fcbedd1.png,blurred,"[0.9581458568572998, 0.041854120790958405]"
0f6383f5-9cf0-43c3-965e-60e5108d69f6.png,blurred,"[0.7790981531143188, 0.22090184688568115]"
ebe38dda-4ccf-4dd5-960f-22c9d1b601cb.png,blurred,"[0.9002717733383179, 0.09972825646400452]"
df65dc77-3790-4bb5-a824-da06dcee0671.png,blurred,"[0.680205225944519, 0.31979477405548096]"
a01375d1-4d0f-4f30-9e81-76d8257e3c2b.png,sharp,"[0.00034889616654254496, 0.9996510744094849]"
47eed0b0-3b79-4513-b29a-0861a6def758.png,sharp,"[0.16565842926502228, 0.8343415856361389]"
d36db547-f384-463c-9e47-d94b84b6e4d2.png,blurred,"[0.9955021739006042, 0.004497845657169819]"
274d3ea4-57af-4a3c-8f4a-40e150d2524f.png,blurred,"[0.8454838395118713, 0.15451623499393463]"
e2ea0834-24ff-4b8b-b946-7b08d4f65b69.png,sharp,"[1.0375160854891874e-05, 0.9999896287918091]"
18a2489f-9407-45d5-bc9c-09d24b5cc77d.png,sharp,"[0.06747026741504669, 0.9325298070907593]"
